12,11
0/0/0,0/0/0,0/0/0,0/0/104,0/0/79,0/0/79,0/0/79,0/0/79,0/0/101,0/0/0,0/0/0,0/0/0
0/0/104,0/0/79,0/0/79,0/0/75,0/0/60,0/0/59,0/0/58,0/0/61,0/0/72,0/0/79,0/0/79,0/0/101
0/0/78,0/0/62,0/0/63,0/0/64,7/0/0,8/0/0,7/0/0,8/0/0,0/0/59,0/0/58,0/0/60,0/0/76
0/0/78,7/0/113,8/0/115,7/0/115,8/0/0,7/0/0,8/0/4007,7/0/0,8/0/113,7/3/0,7/0/116,0/0/76
0/0/78,8/0/0,7/0/4001,8/0/0,7/0/0,8/0/4001,7/0/0,8/0/0,7/0/0,8/0/0,7/1/0,0/0/76
0/0/78,7/0/0,8/0/0,7/0/0,7/0/4001,7/0/129,8/0/4004,7/0/0,8/0/0,7/0/0,8/0/0,0/0/76
0/0/78,8/0/0,7/0/0,8/0/0,7/0/0,8/0/4004,7/0/128,8/0/4001,7/0/0,8/0/0,7/0/0,0/0/76
0/0/78,7/2/0,8/0/0,7/0/0,8/0/0,7/0/0,8/0/4001,7/0/0,8/0/0,7/0/4001,8/0/0,0/0/76
0/0/78,8/0/119,7/4/0,8/0/120,7/0/0,8/0/4007,7/0/0,8/0/0,7/0/117,8/0/118,7/0/119,0/0/76
0/0/103,0/0/77,0/0/77,0/0/74,8/0/107,7/0/108,8/0/109,7/0/111,0/0/73,0/0/77,0/0/77,0/0/102
0/0/0,0/0/0,0/0/0,0/0/103,0/0/77,0/0/77,0/0/77,0/0/77,0/0/102,0/0/0,0/0/0,0/0/0
