7,12
0/0/0,0/0/0,0/0/104,0/0/79,0/0/101,0/0/0,0/0/0
0/0/104,0/0/79,0/0/75,0/0/58,0/0/72,0/0/79,0/0/101
0/0/78,0/0/60,0/0/58,7/3/0,0/0/58,0/0/60,0/0/76
0/0/78,4/0/0,3/0/0,6/0/0,1/0/0,4/0/0,0/0/76
0/0/78,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,0/0/76
0/0/78,4/0/0,1/0/0,4/0/0,1/0/0,6/0/0,0/0/76
0/0/78,7/0/4006,8/0/4007,7/0/4008,8/0/0,7/0/4005,0/0/76
0/0/78,4/0/0,2/0/0,4/0/0,1/0/0,4/0/0,0/0/76
0/0/78,7/0/0,8/0/0,7/0/0,8/0/0,7/0/0,0/0/76
0/0/78,5/0/0,1/0/0,4/0/0,2/0/0,4/0/0,0/0/76
0/0/103,0/0/77,0/0/74,7/4/0,0/0/73,0/0/77,0/0/102
0/0/0,0/0/0,0/0/103,0/0/77,0/0/102,0/0/0,0/0/0
