12,11
0/0/0,0/0/0,0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54,0/0/0,0/0/0
0/0/0,0/0/57,0/0/28,0/0/6,0/0/12,0/0/6,0/0/6,0/0/12,0/0/6,0/0/25,0/0/54,0/0/0
0/0/0,0/0/31,0/0/11,8/0/0,1/0/0,8/0/113,7/0/114,4/0/0,7/0/0,0/0/11,0/0/29,0/0/0
0/0/57,0/0/28,4/0/0,5/0/0,4/0/4003,7/0/115,8/0/116,1/0/4003,4/0/0,1/0/0,0/0/25,0/0/54
0/0/31,0/0/6,7/0/0,4/0/0,7/0/0,5/0/4001,1/0/4001,4/0/0,1/0/0,4/0/0,0/0/6,0/0/29
0/0/31,1/2/0,4/0/0,7/0/0,4/0/0,1/0/0,4/0/0,7/0/0,8/0/0,1/0/0,5/1/0,0/0/29
0/0/31,8/0/115,1/0/0,8/0/0,1/0/0,4/0/4004,1/0/4004,4/0/0,7/0/0,8/0/0,7/0/116,0/0/29
0/0/31,7/0/115,4/0/115,1/0/0,4/0/4001,1/0/0,6/0/0,7/0/4001,4/0/0,1/0/113,8/0/115,0/0/29
0/0/31,8/0/115,1/0/114,4/0/114,1/0/0,6/0/4003,1/0/4003,4/0/0,1/0/114,4/0/115,7/0/116,0/0/29
0/0/31,7/0/116,8/0/115,7/0/115,8/0/114,1/0/0,8/0/0,7/0/113,8/0/113,7/0/114,8/0/114,0/0/29
0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55
