12,11
0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54
0/0/31,0/0/7,0/0/8,0/0/9,0/0/6,0/0/17,0/0/15,0/0/16,0/0/7,0/0/8,0/0/9,0/0/29
0/0/31,0/0/3,0/0/2,0/0/3,4/0/0,1/0/0,4/0/0,3/0/0,0/0/2,0/0/3,0/0/2,0/0/29
0/0/31,0/0/1,1/3/0,0/0/1,1/0/4006,4/0/4006,3/0/4006,4/0/4006,0/0/1,4/0/106,0/0/1,0/0/29
0/0/31,1/2/0,4/0/0,1/0/0,4/0/0,3/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/128,0/0/29
0/0/31,4/0/118,3/0/0,6/0/0,1/0/0,6/0/0,1/0/0,4/0/0,3/0/0,6/0/0,1/0/0,0/0/29
0/0/31,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,6/0/0,1/0/0,4/0/0,1/0/0,6/0/118,0/0/29
0/0/31,4/0/118,1/0/0,4/0/0,1/0/0,6/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/1/0,0/0/29
0/0/31,0/0/3,4/0/106,0/0/3,4/0/4006,1/0/4006,4/0/4006,3/0/4006,0/0/2,1/4/0,0/0/2,0/0/29
0/0/31,0/0/1,0/0/3,0/0/1,1/0/0,4/0/0,1/0/0,4/0/0,0/0/1,0/0/2,0/0/1,0/0/29
0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55
