11,12
0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54
0/0/31,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/6,0/0/29
0/0/31,0/0/3,0/0/2,0/0/3,0/0/2,0/0/3,0/0/2,0/0/3,4/3/0,0/0/3,0/0/29
0/0/31,4/2/0,1/0/0,4/0/0,0/0/1,0/0/1,0/0/1,4/0/0,1/0/0,0/0/1,0/0/29
0/0/31,0/0/3,4/0/0,1/0/0,4/0/0,1/0/4001,4/0/0,1/0/0,4/0/0,0/0/1,0/0/29
0/0/31,0/0/1,0/0/3,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,0/0/3,0/0/1,0/0/29
0/0/31,0/0/1,0/0/1,1/0/4007,4/0/0,1/0/4005,4/0/0,1/0/4007,0/0/1,0/0/1,0/0/29
0/0/31,0/0/1,0/0/1,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,0/0/1,0/0/1,0/0/29
0/0/31,0/0/1,4/0/0,1/0/0,4/0/0,1/0/4001,4/0/0,1/0/0,4/0/0,0/0/1,0/0/29
0/0/31,0/0/1,1/0/0,4/0/0,0/0/3,0/0/2,0/0/3,4/0/0,1/0/0,4/1/0,0/0/29
0/0/31,0/0/1,4/4/0,0/0/3,0/0/1,0/0/1,0/0/1,0/0/3,0/0/2,0/0/3,0/0/29
0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55
