15,17
0/0/57,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/32,0/0/54
0/0/31,0/0/10,0/0/6,0/0/11,0/0/6,0/0/6,0/0/12,0/0/15,0/0/6,0/0/11,0/0/13,0/0/6,0/0/12,0/0/6,0/0/29
0/0/31,0/0/2,0/0/2,0/0/2,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,0/0/2,0/0/2,0/0/2,0/0/29
0/0/31,0/0/1,0/0/1,0/0/1,1/0/0,6/0/0,1/0/0,4/0/0,1/0/0,6/0/0,1/0/0,0/0/1,0/0/1,0/0/1,0/0/29
0/0/31,0/0/1,0/0/1,0/0/1,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,0/0/1,0/0/1,0/0/1,0/0/29
0/0/31,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,2/0/0,6/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,0/0/29
0/0/31,1/0/0,4/0/0,1/0/0,4/0/0,0/0/3,4/0/0,2/0/0,4/0/0,0/0/3,4/0/0,1/0/0,4/0/0,1/0/0,0/0/29
0/0/31,4/0/0,2/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,3/0/0,4/0/0,1/0/0,4/0/0,2/0/0,4/0/0,0/0/29
0/0/31,1/0/0,6/0/0,1/0/0,4/0/0,2/0/0,4/0/0,1/0/4013,4/0/0,1/0/0,4/0/0,3/0/0,6/0/0,1/0/0,0/0/29
0/0/31,4/0/0,1/0/0,6/0/0,1/0/0,4/0/0,1/0/0,6/0/0,2/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,0/0/29
0/0/31,1/0/0,4/0/0,1/0/0,4/0/0,0/0/3,4/0/0,1/0/0,6/0/0,0/0/3,4/0/0,1/0/0,4/0/0,1/0/0,0/0/29
0/0/31,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,0/0/29
0/0/31,0/0/2,0/0/2,0/0/2,4/0/0,2/0/0,4/0/0,1/0/0,4/0/0,1/0/0,6/0/0,0/0/2,0/0/2,0/0/2,0/0/29
0/0/31,0/0/1,0/0/1,0/0/1,1/0/0,6/0/0,1/0/0,6/0/0,2/0/0,4/0/0,1/0/0,0/0/1,0/0/1,0/0/1,0/0/29
0/0/31,0/0/1,0/0/1,0/0/1,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,1/0/0,4/0/0,0/0/1,0/0/1,0/0/1,0/0/29
0/0/56,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/27,4/4/0,0/0/26,0/0/30,0/0/30,0/0/30,0/0/30,0/0/30,0/0/55
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/56,0/0/30,0/0/55,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
