9,10
0/0/0,0/0/0,0/0/0,0/0/57,0/0/32,0/0/54,0/0/0,0/0/0,0/0/0
0/0/0,0/0/57,0/0/32,0/0/28,0/0/6,0/0/25,0/0/32,0/0/54,0/0/0
0/0/0,0/0/31,0/0/6,0/0/12,1/3/0,0/0/12,0/0/6,0/0/29,0/0/0
0/0/57,0/0/28,4/0/121,2/0/0,6/0/0,1/0/0,4/0/133,0/0/25,0/0/54
0/0/31,0/0/6,2/0/0,4/0/0,1/0/0,4/0/0,1/101/0,0/0/6,0/0/29
0/0/31,1/2/0,5/0/0,1/0/0,6/0/0,1/0/0,4/0/0,1/1/0,0/0/29
0/0/56,0/0/27,1/0/0,5/0/0,2/0/0,5/0/0,1/0/0,0/0/26,0/0/55
0/0/0,0/0/31,4/0/122,2/0/0,4/0/0,1/0/0,6/0/123,0/0/29,0/0/0
0/0/0,0/0/56,0/0/30,0/0/27,1/4/0,0/0/26,0/0/30,0/0/55,0/0/0
0/0/0,0/0/0,0/0/0,0/0/56,0/0/30,0/0/55,0/0/0,0/0/0,0/0/0
