13,15
0/0/0,0/0/0,0/0/0,0/0/1021,0/0/1023,0/0/1023,0/0/1023,0/0/1023,0/0/1023,0/0/1018,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/1021,0/0/1030,0/0/5,0/0/5,0/0/5,0/0/5,0/0/5,0/0/1027,0/0/1018,0/0/0,0/0/0
0/0/0,0/0/1021,0/0/1030,0/0/5,35/0/0,38/0/4001,35/0/0,38/0/0,35/0/0,0/0/5,0/0/1027,0/0/1018,0/0/0
0/0/0,0/0/1026,0/0/5,35/0/0,38/0/0,35/0/0,38/0/0,35/0/0,40/0/4001,35/0/0,40/0/0,0/0/1024,0/0/0
0/0/1021,0/0/1030,35/0/0,38/0/4001,35/0/0,40/0/0,0/0/1032,0/0/1034,35/0/0,38/0/0,35/0/0,0/0/1027,0/0/1018
0/0/1026,0/0/5,38/0/0,35/0/0,0/0/1032,0/0/1034,0/0/5,0/0/5,0/0/1033,35/0/0,38/0/4001,0/0/5,0/0/1024
0/0/1026,38/4/0,37/0/0,38/0/0,0/0/5,0/0/5,35/0/0,40/0/0,0/0/1031,38/0/0,35/0/0,38/2/0,0/0/1024
0/0/1020,0/0/1029,38/0/0,37/0/0,38/0/0,35/0/0,38/0/4002,0/0/1035,0/0/5,35/0/0,39/0/0,0/0/1028,0/0/1019
0/0/0,0/0/1020,0/0/1029,38/0/0,35/0/4001,38/0/0,0/0/1035,0/0/5,35/0/0,38/0/0,35/0/0,0/0/1024,0/0/0
0/0/0,0/0/0,0/0/1020,0/0/1029,38/0/0,0/0/1035,0/0/5,35/0/0,40/0/4001,35/0/0,40/0/0,0/0/1024,0/0/0
0/0/0,0/0/0,0/0/0,0/0/1020,0/0/1029,0/0/5,35/0/0,38/0/0,35/0/0,39/0/4001,0/0/1028,0/0/1019,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/1026,35/0/0,38/0/0,35/0/0,38/0/0,0/0/1028,0/0/1019,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/1026,40/0/0,35/0/0,39/0/0,0/0/1028,0/0/1019,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/1020,0/0/1029,38/3/0,0/0/1028,0/0/1019,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/1020,0/0/1025,0/0/1019,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
