11,13
0/0/0,0/0/1021,0/0/1023,0/0/1018,0/0/0,0/0/0,0/0/0,0/0/1021,0/0/1023,0/0/1018,0/0/0
0/0/0,0/0/1026,0/0/5,0/0/1024,0/0/0,0/0/0,0/0/0,0/0/1026,0/0/5,0/0/1024,0/0/0
0/0/1021,0/0/1030,35/1/0,0/0/1027,0/0/1018,0/0/0,0/0/1021,0/0/1030,35/1/0,0/0/1027,0/0/1018
0/0/1026,0/0/5,38/0/0,0/0/5,0/0/1024,0/0/0,0/0/1026,0/0/5,38/0/0,0/0/5,0/0/1024
0/0/1026,39/0/0,35/0/0,38/0/0,0/0/1024,0/0/0,0/0/1026,38/0/0,37/0/0,38/0/0,0/0/1024
0/0/1026,35/0/0,39/0/4003,35/0/0,0/0/1024,0/0/0,0/0/1026,35/0/0,38/0/4003,37/0/0,0/0/1024
0/0/1026,39/0/0,35/0/0,38/0/0,0/0/1024,0/0/0,0/0/1026,38/0/0,35/0/0,39/0/0,0/0/1024
0/0/1026,35/0/4001,38/0/0,35/0/4001,0/0/1027,0/0/1023,0/0/1030,35/0/4001,39/0/0,35/0/4001,0/0/1024
0/0/1026,38/0/0,37/0/0,38/0/0,0/0/5,0/0/5,0/0/5,38/0/0,35/0/0,39/0/0,0/0/1024
0/0/1026,35/0/0,38/0/0,37/0/2002,38/0/4001,37/0/0,38/0/4001,37/0/2002,38/0/0,35/0/0,0/0/1024
0/0/1026,38/0/0,37/0/0,38/0/0,35/0/0,38/0/4003,37/0/0,38/0/0,35/0/0,38/0/0,0/0/1024
0/0/1026,35/0/0,38/0/0,35/0/4001,39/0/0,35/0/0,39/0/0,35/0/4001,39/0/0,35/0/0,0/0/1024
0/0/1020,0/0/1025,0/0/1025,0/0/1025,0/0/1025,0/0/1025,0/0/1025,0/0/1025,0/0/1025,0/0/1025,0/0/1019
