16,17
0/0/0,0/0/1021,0/0/1023,0/0/1023,0/0/1023,0/0/1023,0/0/1018,0/0/0,0/0/0,0/0/1021,0/0/1023,0/0/1023,0/0/1023,0/0/1023,0/0/1018,0/0/0
0/0/0,0/0/1026,0/0/5,0/0/5,0/0/5,0/0/5,0/0/1024,0/0/0,0/0/0,0/0/1026,0/0/5,0/0/5,0/0/5,0/0/5,0/0/1024,0/0/0
0/0/1021,0/0/1030,40/0/0,35/0/0,38/0/0,35/0/0,0/0/1024,0/0/0,0/0/0,0/0/1026,38/0/4002,35/0/0,38/0/0,35/0/0,0/0/1027,0/0/1018
0/0/1026,0/0/5,35/0/0,38/0/0,35/0/4001,40/0/0,0/0/1024,0/0/0,0/0/0,0/0/1026,36/0/0,38/0/0,35/0/0,40/0/0,0/0/5,0/0/1024
0/0/1026,35/4/0,38/0/0,36/0/0,40/0/0,35/0/0,0/0/1027,0/0/1018,0/0/1021,0/0/1030,38/0/0,35/0/4001,38/0/0,35/0/0,38/2/0,0/0/1024
0/0/1020,0/0/1029,36/0/0,38/0/4001,35/0/0,38/0/0,0/0/5,0/0/1027,0/0/1030,0/0/5,36/0/0,40/0/0,35/0/0,38/0/0,0/0/1028,0/0/1019
0/0/0,0/0/1026,38/0/0,35/0/0,38/0/0,35/0/4003,38/0/0,0/0/5,0/0/5,35/0/0,38/0/4001,35/0/0,38/0/0,35/0/0,0/0/1024,0/0/0
0/0/0,0/0/1020,0/0/1025,0/0/1025,0/0/1029,38/0/0,35/0/0,40/0/0,35/0/0,40/0/0,35/0/0,0/0/1028,0/0/1025,0/0/1025,0/0/1019,0/0/0
0/0/0,0/0/0,0/0/0,0/0/0,0/0/1026,36/0/2002,38/0/0,35/0/0,40/0/4001,35/0/0,38/0/2002,0/0/1024,0/0/0,0/0/0,0/0/0,0/0/0
0/0/0,0/0/1021,0/0/1023,0/0/1023,0/0/1030,38/0/2002,35/0/0,38/0/4001,35/0/0,38/0/0,35/0/2002,0/0/1027,0/0/1023,0/0/1023,0/0/1018,0/0/0
0/0/0,0/0/1026,0/0/5,0/0/5,0/0/5,35/0/0,38/0/0,36/0/0,38/0/0,35/0/0,38/0/0,0/0/5,0/0/5,0/0/5,0/0/1024,0/0/0
0/0/1021,0/0/1030,35/0/0,38/0/0,36/0/0,40/0/4001,35/0/0,0/0/1028,0/0/1029,38/0/0,35/0/4003,40/0/0,35/0/0,38/0/0,0/0/1027,0/0/1018
0/0/1026,0/0/5,38/0/0,35/0/0,40/0/0,35/0/0,0/0/1028,0/0/1019,0/0/1020,0/0/1029,38/0/0,35/0/0,40/0/4001,35/0/0,0/0/5,0/0/1024
0/0/1026,38/4/0,35/0/0,38/0/0,35/0/4001,38/0/0,0/0/1024,0/0/0,0/0/0,0/0/1026,36/0/0,40/0/0,35/0/0,40/0/0,35/2/0,0/0/1024
0/0/1020,0/0/1029,38/0/0,35/0/0,38/0/0,35/0/0,0/0/1024,0/0/0,0/0/0,0/0/1026,38/0/0,35/0/4001,38/0/0,35/0/0,0/0/1028,0/0/1019
0/0/0,0/0/1026,36/0/0,38/0/0,35/0/0,38/0/4002,0/0/1024,0/0/0,0/0/0,0/0/1026,36/0/0,38/0/0,35/0/0,38/0/0,0/0/1024,0/0/0
0/0/0,0/0/1020,0/0/1025,0/0/1025,0/0/1025,0/0/1025,0/0/1019,0/0/0,0/0/0,0/0/1020,0/0/1025,0/0/1025,0/0/1025,0/0/1025,0/0/1019,0/0/0
